query,disease,advice
Body aches and chills,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Body aches and chills,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Body aches and chills,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Body aches and chills,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Body aches and chills,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Body aches and chills,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Body aches and chills,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Mild cough and stuffy nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Scratchy throat and sneezing,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Scratchy throat and sneezing,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Mild cough and stuffy nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Scratchy throat and sneezing,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Mild cough and stuffy nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Scratchy throat and sneezing,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Mild cough and stuffy nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Scratchy throat and sneezing,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Scratchy throat and sneezing,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Mild cough and stuffy nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Scratchy throat and sneezing,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Mild cough and stuffy nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Mild cough and stuffy nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Scratchy throat and sneezing,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Mild cough and stuffy nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Scratchy throat and sneezing,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Mild cough and stuffy nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Mild cough and stuffy nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
I have nasal congestion and a mild headache,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Sneezing a lot and have a runny nose,Common Cold,"Drink warm fluids, rest, and use nasal decongestants."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I'm thirsty all the time and my vision is blurry,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I'm thirsty all the time and my vision is blurry,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Frequent urination and weight loss,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I'm thirsty all the time and my vision is blurry,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Frequent urination and weight loss,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Frequent urination and weight loss,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I'm thirsty all the time and my vision is blurry,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I'm thirsty all the time and my vision is blurry,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I'm thirsty all the time and my vision is blurry,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Frequent urination and weight loss,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Frequent urination and weight loss,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I'm thirsty all the time and my vision is blurry,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Frequent urination and weight loss,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Frequent urination and weight loss,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I'm thirsty all the time and my vision is blurry,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I'm thirsty all the time and my vision is blurry,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Frequent urination and weight loss,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I'm thirsty all the time and my vision is blurry,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Frequent urination and weight loss,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I feel weak and have dry mouth often,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Frequent urination and weight loss,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Tiredness and increased hunger,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
I'm thirsty all the time and my vision is blurry,Diabetes,"Maintain a healthy diet, exercise regularly, and monitor blood sugar."
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I have trouble breathing during exercise,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I wheeze when I breathe,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I wheeze when I breathe,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I have trouble breathing during exercise,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I have trouble breathing during exercise,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I wheeze when I breathe,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I wheeze when I breathe,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I wheeze when I breathe,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I have trouble breathing during exercise,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I have trouble breathing during exercise,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I wheeze when I breathe,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I wheeze when I breathe,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I wheeze when I breathe,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I have trouble breathing during exercise,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I have trouble breathing during exercise,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I wheeze when I breathe,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I have trouble breathing during exercise,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Coughing at night and shortness of breath,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I have trouble breathing during exercise,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I wheeze when I breathe,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
Chest tightness and difficulty breathing,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I have trouble breathing during exercise,Asthma,Use inhalers as prescribed and avoid triggers like dust and smoke.
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Blurred vision followed by headache,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Blurred vision followed by headache,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Blurred vision followed by headache,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Blurred vision followed by headache,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Blurred vision followed by headache,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Blurred vision followed by headache,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I feel dizzy and my head hurts badly,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
I have a severe headache and nausea,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Light sensitivity and throbbing pain on one side,Migraine,"Rest in a quiet, dark room and take prescribed migraine medications."
Swollen tonsils and red throat,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Swollen tonsils and red throat,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Swollen tonsils and red throat,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Swollen tonsils and red throat,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Swollen tonsils and red throat,Sore Throat,Gargle with warm salt water and drink soothing fluids.
My throat feels scratchy and irritated,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
My throat feels scratchy and irritated,Sore Throat,Gargle with warm salt water and drink soothing fluids.
My throat feels scratchy and irritated,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Swollen tonsils and red throat,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Swollen tonsils and red throat,Sore Throat,Gargle with warm salt water and drink soothing fluids.
My throat feels scratchy and irritated,Sore Throat,Gargle with warm salt water and drink soothing fluids.
My throat feels scratchy and irritated,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Swollen tonsils and red throat,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Swollen tonsils and red throat,Sore Throat,Gargle with warm salt water and drink soothing fluids.
My throat feels scratchy and irritated,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Swollen tonsils and red throat,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Dry throat and mild fever,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
My throat feels scratchy and irritated,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Swollen tonsils and red throat,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Pain when swallowing,Sore Throat,Gargle with warm salt water and drink soothing fluids.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
Swollen joints in the morning,Arthritis,Exercise gently and take anti-inflammatory medications.
Chronic pain in fingers and hands,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
I feel pain in my knees when walking,Arthritis,Exercise gently and take anti-inflammatory medications.
Joint pain and stiffness,Arthritis,Exercise gently and take anti-inflammatory medications.
